B	Eénmaal	Eenmaal
B	allemáál	allemaal
B	alléén	alleen
B	behóórlijk	behoorlijk
B	bestáán	bestaan
B	bestáát	bestaat
B	bén	ben
B	béste	beste
B	béter	beter
B	béétje	beetje
B	béíde	beide
K	bínnen	binnen
B	bóven	boven
B	búíten	buiten
B	daarná	daarna
B	daarnáást	daarnaast
B	daarvóór	daarvoor
B	dán	dan
B	dát	dat
B	dáár	daar
B	dááraan	daaraan
B	dáárdoor	daardoor
B	dáárheen	daarheen
B	dáárin	daarin
B	dáármee	daarmee
B	dáárna	daarna
B	dáárom	daarom
B	dáárop	daarop
B	dáárover	daarover
B	dáárvoor	daarvoor
B	dé	de
B	déze	deze
B	dít	dit
B	díé	die
B	dóór	door
B	dóórgaan	doorgaan
B	dóórvragen	doorvragen
B	dús	dus
B	ervóór	ervoor
B	gehóórd	gehoord
B	gelóóf	geloof
B	gelóóft	gelooft
B	gewóón	gewoon
B	gróte	grote
B	gróót	groot
B	gáát	gaat
B	géén	geen
B	halló	hallo
B	helemáál	helemaal
B	hiervóór	hiervoor
B	hoevéél	hoeveel
B	háár	haar
B	héb	heb
B	hébben	hebben
B	héle	hele
B	hélemaal	helemaal
B	hém	hem
B	hén	hen
B	hét	het
B	hééft	heeft
B	héél	heel
B	héérlijk	heerlijk
B	híér	hier
B	hóé	hoe
B	hóéven	hoeven
B	hóóg	hoog
B	hóór	hoor
B	hóórde	hoorde
B	hóórt	hoort
B	hún	hun
B	iederéén	iedereen
B	inéén	ineen
B	járen	jaren
B	júíst	juist
B	kán	kan
B	kúnnen	kunnen
B	mág	mag
B	máár	maar
B	mét	met
B	mógen	mogen
B	móést	moest
B	móét	moet
B	móéten	moeten
B	móói	mooi
B	natúúrlijk	natuurlijk
B	ná	na
B	nádat	nadat
B	náást	naast
B	nérgens	nergens
B	nét	net
B	níét	niet
B	nóg	nog
B	nóóit	nooit
B	nú	nu
B	omdát	omdat
B	persóónlijk	persoonlijk
B	sámen	samen
B	súper	super
B	twéé	twee
B	twééde	tweede
B	twéémaal	tweemaal
B	té	te
B	tégen	tegen
B	tóch	toch
B	vergéét	vergeet
B	voorkómen	voorkomen
B	vréét	vreet
B	vér	ver
B	vérgaand	vergaand
B	vérgaande	vergaande
B	vérstrekkende	verstrekkende
B	véél	veel
B	vólgend	volgend
B	vólgende	volgende
B	vóór	voor
B	vóóraan	vooraan
B	vóóraf	vooraf
B	vóórafgaand	voorafgaand
B	vóóral	vooral
B	vóórdat	voordat
B	vóórgaat	voorgaat
B	vóórkomen	voorkomen
B	vóórkomende	voorkomende
B	vóórkomt	voorkomt
B	vóórstemmers	voorstemmers
B	vóóruit	vooruit
B	waarvóór	waarvoor
B	waaróm	waarom
B	waaróp	waarop
B	wás	was
B	wát	wat
B	wáár	waar
B	wég	weg
B	wél	wel
B	wélk	welk
B	wélke	welke
B	wérkelijk	werkelijk
B	wéten	weten
B	wéér	weer
B	wéét	weet
B	wíé	wie
B	wórden	worden
B	zovéélste	zoveelste
B	zál	zal
B	zéker	zeker
B	zélf	zelf
B	zélfs	zelfs
B	zéér	zeer
B	zó	zo
B	zódanig	zodanig
B	zómaar	zomaar
B	zónder	zonder
B	zóveel	zoveel
B	zóver	zover
B	zózeer	zozeer
B	zúlke	zulke
B	álle	alle
B	álles	alles
B	áls	als
B	áltijd	altijd
B	ánder	ander
B	ándere	andere
B	ánderen	anderen
B	ánders	anders
B	écht	echt
B	échte	echte
B	élk	elk
B	élke	elke
B	én	en
B	éne	ene
B	énig	enig
B	énige	enige
B	énkel	enkel
B	énkele	enkele
B	énorm	enorm
B	érg	erg
B	éven	even
K	één	een
B	één duizendste	een duizendste
B	één tiende	een tiende
B	één vijfde	een vijfde
B	éénduidig	eenduidig
F	éénduidige	eenduidige
F	éénduidiger	eenduidiger
B	éénduidigheid	eenduidigheid
B	éénheid	eenheid
B	éénheidsworst	eenheidsworst
B	éénjarig	eenjarig;1-jarig
B	éénjarige	eenjarige;1-jarige
F	éénjarigen	eenjarigen;1-jarigen
B	éénmaal	eenmaal
B	éénmalig	eenmalig
B	éénmalige	eenmalige
B	éénoudergezinnen	eenoudergezinnen
B	éénrichtingsverkeer	eenrichtingsverkeer
B	ééns	eens
B	ééntalig	eentalig
B	ééntalige	eentalige
B	ééntje	eentje
B	éénzijdig	eenzijdig
B	éénzijdige	eenzijdige
B	éér	eer
B	éérder	eerder
B	éérlijk	eerlijk
B	éérst	eerst
B	éérste	eerste
B	ín	in
B	íémand	iemand
B	íéts	iets
B	óf	of
B	ófwel	ofwel
B	óm	om
B	ómdat	omdat
B	óndanks	ondanks
B	ónder	onder
B	ónderdeel	onderdeel
B	óns	ons
B	ónze	onze
B	óp	op
B	ópen	open
B	óver	over
B	óveral	overal
B	óóit	ooit
B	óók	ook
B	ú	u
B	úw	uw
