Status	Temporal	Word	Alternative
-	0	IVCDLXIII	
-	0	IVCDLXIV	
-	0	IVCDLXIX	
-	0	IVCDLXV	
-	0	IVCDLXVI	
-	0	IVCDLXVII	
-	0	IVCDLXVIII	
-	0	IVCDLXX	
-	0	IVCDLXXI	
-	0	IVCDLXXII	
-	0	IVCDLXXIII	
-	0	IVCDLXXIV	
-	0	IVCDLXXIX	
-	0	IVCDLXXV	
-	0	IVCDLXXVI	
-	0	IVCDLXXVII	
-	0	IVCDLXXVIII	
-	0	IVCDLXXX	
-	0	IVCDLXXXI	
-	0	IVCDLXXXII	
-	0	IVCDLXXXIII	
-	0	IVCDLXXXIV	
-	0	IVCDLXXXIX	
-	0	IVCDLXXXV	
-	0	IVCDLXXXVI	
-	0	IVCDLXXXVII	
-	0	IVCDLXXXVIII	
-	0	IVCDV	
-	0	IVCDVI	
-	0	IVCDVII	
-	0	IVCDVIII	
-	0	IVCDX	
-	0	IVCDXC	
-	0	IVCDXCI	
-	0	IVCDXCII	
-	0	IVCDXCIII	
-	0	IVCDXCIV	
-	0	IVCDXCIX	
-	0	IVCDXCV	
-	0	IVCDXCVI	
-	0	IVCDXCVII	
-	0	IVCDXCVIII	
-	0	IVCDXI	
-	0	IVCDXII	
-	0	IVCDXIII	
-	0	IVCDXIV	
-	0	IVCDXIX	
-	0	IVCDXL	
-	0	IVCDXLI	
-	0	IVCDXLII	
-	0	IVCDXLIII	
-	0	IVCDXLIV	
-	0	IVCDXLIX	
-	0	IVCDXLV	
-	0	IVCDXLVI	
-	0	IVCDXLVII	
-	0	IVCDXLVIII	
-	0	IVCDXV	
-	0	IVCDXVI	
-	0	IVCDXVII	
-	0	IVCDXVIII	
-	0	IVCDXX	
-	0	IVCDXXI	
-	0	IVCDXXII	
-	0	IVCDXXIII	
-	0	IVCDXXIV	
-	0	IVCDXXIX	
-	0	IVCDXXV	
-	0	IVCDXXVI	
-	0	IVCDXXVII	
-	0	IVCDXXVIII	
-	0	IVCDXXX	
-	0	IVCDXXXI	
-	0	IVCDXXXII	
-	0	IVCDXXXIII	
-	0	IVCDXXXIV	
-	0	IVCDXXXIX	
-	0	IVCDXXXV	
-	0	IVCDXXXVI	
-	0	IVCDXXXVII	
-	0	IVCDXXXVIII	
-	0	IVCI	
-	0	IVCII	
-	0	IVCIII	
-	0	IVCIV	
-	0	IVCIX	
-	0	IVCL	
-	0	IVCLI	
-	0	IVCLII	
-	0	IVCLIII	
-	0	IVCLIV	
-	0	IVCLIX	
-	0	IVCLV	
-	0	IVCLVI	
-	0	IVCLVII	
-	0	IVCLVIII	
-	0	IVCLX	
-	0	IVCLXI	
-	0	IVCLXII	
-	0	IVCLXIII	
-	0	IVCLXIV	
-	0	IVCLXIX	
-	0	IVCLXV	
-	0	IVCLXVI	
-	0	IVCLXVII	
-	0	IVCLXVIII	
-	0	IVCLXX	
-	0	IVCLXXI	
-	0	IVCLXXII	
-	0	IVCLXXIII	
-	0	IVCLXXIV	
-	0	IVCLXXIX	
-	0	IVCLXXV	
-	0	IVCLXXVI	
-	0	IVCLXXVII	
-	0	IVCLXXVIII	
-	0	IVCLXXX	
-	0	IVCLXXXI	
-	0	IVCLXXXII	
-	0	IVCLXXXIII	
-	0	IVCLXXXIV	
-	0	IVCLXXXIX	
-	0	IVCLXXXV	
-	0	IVCLXXXVI	
-	0	IVCLXXXVII	
-	0	IVCLXXXVIII	
-	0	IVCM	
-	0	IVCMI	
-	0	IVCMII	
-	0	IVCMIII	
-	0	IVCMIV	
-	0	IVCMIX	
-	0	IVCML	
-	0	IVCMLI	
-	0	IVCMLII	
-	0	IVCMLIII	
-	0	IVCMLIV	
-	0	IVCMLIX	
-	0	IVCMLV	
-	0	IVCMLVI	
-	0	IVCMLVII	
-	0	IVCMLVIII	
-	0	IVCMLX	
-	0	IVCMLXI	
-	0	IVCMLXII	
-	0	IVCMLXIII	
-	0	IVCMLXIV	
-	0	IVCMLXIX	
-	0	IVCMLXV	
-	0	IVCMLXVI	
-	0	IVCMLXVII	
-	0	IVCMLXVIII	
-	0	IVCMLXX	
-	0	IVCMLXXI	
-	0	IVCMLXXII	
-	0	IVCMLXXIII	
-	0	IVCMLXXIV	
-	0	IVCMLXXIX	
-	0	IVCMLXXV	
-	0	IVCMLXXVI	
-	0	IVCMLXXVII	
-	0	IVCMLXXVIII	
-	0	IVCMLXXX	
-	0	IVCMLXXXI	
-	0	IVCMLXXXII	
-	0	IVCMLXXXIII	
-	0	IVCMLXXXIV	
-	0	IVCMLXXXIX	
-	0	IVCMLXXXV	
-	0	IVCMLXXXVI	
-	0	IVCMLXXXVII	
-	0	IVCMLXXXVIII	
-	0	IVCMV	
-	0	IVCMVI	
-	0	IVCMVII	
-	0	IVCMVIII	
-	0	IVCMX	
-	0	IVCMXC	
-	0	IVCMXCI	
-	0	IVCMXCII	
-	0	IVCMXCIII	
-	0	IVCMXCIV	
-	0	IVCMXCIX	
-	0	IVCMXCV	
-	0	IVCMXCVI	
-	0	IVCMXCVII	
-	0	IVCMXCVIII	
-	0	IVCMXI	
-	0	IVCMXII	
-	0	IVCMXIII	
-	0	IVCMXIV	
-	0	IVCMXIX	
-	0	IVCMXL	
-	0	IVCMXLI	
-	0	IVCMXLII	
-	0	IVCMXLIII	
-	0	IVCMXLIV	
-	0	IVCMXLIX	
-	0	IVCMXLV	
-	0	IVCMXLVI	
-	0	IVCMXLVII	
-	0	IVCMXLVIII	
-	0	IVCMXV	
-	0	IVCMXVI	
-	0	IVCMXVII	
-	0	IVCMXVIII	
-	0	IVCMXX	
-	0	IVCMXXI	
-	0	IVCMXXII	
-	0	IVCMXXIII	
-	0	IVCMXXIV	
-	0	IVCMXXIX	
-	0	IVCMXXV	
-	0	IVCMXXVI	
-	0	IVCMXXVII	
-	0	IVCMXXVIII	
-	0	IVCMXXX	
-	0	IVCMXXXI	
-	0	IVCMXXXII	
-	0	IVCMXXXIII	
-	0	IVCMXXXIV	
-	0	IVCMXXXIX	
